algorithm,representation,selection,candidate_id,parameters,sigma,seed,n_clusters,largest_non_noise_cluster_share,silhouette,davies_bouldin,calinski_harabasz,ari,stability_ari,n_noise,noise_fraction
classix,compact,deployment_acceptable,classix_r0.95_m10_distance,"{""group_merging"":""distance"",""mergeScale"":1.5,""mergeTinyGroups"":true,""metric"":""euclidean"",""minPts"":10,""post_alloc"":false,""radius"":0.95,""sorting"":""pca""}",0.01,20260809,2,0.9093779332707569,0.5943172906718196,1.0573020924763257,4274.075504921738,0.9993803546139021,0.9993803546139021,0,0.0
classix,compact,deployment_acceptable,classix_r0.95_m10_distance,"{""group_merging"":""distance"",""mergeScale"":1.5,""mergeTinyGroups"":true,""metric"":""euclidean"",""minPts"":10,""post_alloc"":false,""radius"":0.95,""sorting"":""pca""}",0.01,20260810,2,0.9092926017578291,0.5945495927447467,1.0573429250797084,4284.328335085426,1.0,1.0,0,0.0
classix,rich,deployment_acceptable,classix_r0.75_m10_density,"{""group_merging"":""density"",""mergeScale"":1.5,""mergeTinyGroups"":true,""metric"":""euclidean"",""minPts"":10,""post_alloc"":false,""radius"":0.75,""sorting"":""pca""}",0.0,20260801,3,0.8982697156768976,0.2909136336788067,0.859209473469003,1516.9199025705768,1.0,1.0,218,0.018602269818243877
classix,rich,deployment_acceptable,classix_r0.75_m10_density,"{""group_merging"":""density"",""mergeScale"":1.5,""mergeTinyGroups"":true,""metric"":""euclidean"",""minPts"":10,""post_alloc"":false,""radius"":0.75,""sorting"":""pca""}",1e-06,20260801,3,0.8982697156768976,0.2909136308391617,0.8592094726541187,1516.919895066091,1.0,1.0,218,0.018602269818243877
classix,rich,deployment_acceptable,classix_r0.75_m10_density,"{""group_merging"":""density"",""mergeScale"":1.5,""mergeTinyGroups"":true,""metric"":""euclidean"",""minPts"":10,""post_alloc"":false,""radius"":0.75,""sorting"":""pca""}",1e-06,20260802,3,0.8982697156768976,0.29091363365091943,0.8592094711819174,1516.919921172144,1.0,1.0,218,0.018602269818243877
classix,rich,deployment_acceptable,classix_r0.75_m10_density,"{""group_merging"":""density"",""mergeScale"":1.5,""mergeTinyGroups"":true,""metric"":""euclidean"",""minPts"":10,""post_alloc"":false,""radius"":0.75,""sorting"":""pca""}",1e-06,20260803,3,0.8982697156768976,0.2909136354675458,0.8592094773785438,1516.9199383233579,1.0,1.0,218,0.018602269818243877
classix,rich,deployment_acceptable,classix_r0.75_m10_density,"{""group_merging"":""density"",""mergeScale"":1.5,""mergeTinyGroups"":true,""metric"":""euclidean"",""minPts"":10,""post_alloc"":false,""radius"":0.75,""sorting"":""pca""}",1e-06,20260804,3,0.8982697156768976,0.29091363226138656,0.8592094696860438,1516.9198993435143,1.0,1.0,218,0.018602269818243877
classix,rich,deployment_acceptable,classix_r0.75_m10_density,"{""group_merging"":""density"",""mergeScale"":1.5,""mergeTinyGroups"":true,""metric"":""euclidean"",""minPts"":10,""post_alloc"":false,""radius"":0.75,""sorting"":""pca""}",1e-06,20260805,3,0.8982697156768976,0.2909136290664758,0.8592094844146083,1516.9198680472775,1.0,1.0,218,0.018602269818243877
classix,rich,deployment_acceptable,classix_r0.75_m10_density,"{""group_merging"":""density"",""mergeScale"":1.5,""mergeTinyGroups"":true,""metric"":""euclidean"",""minPts"":10,""post_alloc"":false,""radius"":0.75,""sorting"":""pca""}",1e-06,20260806,3,0.8982697156768976,0.290913634712606,0.8592094704575169,1516.9199069467636,1.0,1.0,218,0.018602269818243877
classix,rich,deployment_acceptable,classix_r0.75_m10_density,"{""group_merging"":""density"",""mergeScale"":1.5,""mergeTinyGroups"":true,""metric"":""euclidean"",""minPts"":10,""post_alloc"":false,""radius"":0.75,""sorting"":""pca""}",1e-06,20260807,3,0.8982697156768976,0.2909136323267947,0.8592094697160427,1516.9199043911042,1.0,1.0,218,0.018602269818243877
classix,rich,deployment_acceptable,classix_r0.75_m10_density,"{""group_merging"":""density"",""mergeScale"":1.5,""mergeTinyGroups"":true,""metric"":""euclidean"",""minPts"":10,""post_alloc"":false,""radius"":0.75,""sorting"":""pca""}",1e-06,20260808,3,0.8982697156768976,0.2909136349389285,0.8592094743066306,1516.9198978267877,1.0,1.0,218,0.018602269818243877
classix,rich,deployment_acceptable,classix_r0.75_m10_density,"{""group_merging"":""density"",""mergeScale"":1.5,""mergeTinyGroups"":true,""metric"":""euclidean"",""minPts"":10,""post_alloc"":false,""radius"":0.75,""sorting"":""pca""}",1e-06,20260809,3,0.8982697156768976,0.2909136360936144,0.8592094646462174,1516.9199230245586,1.0,1.0,218,0.018602269818243877
classix,rich,deployment_acceptable,classix_r0.75_m10_density,"{""group_merging"":""density"",""mergeScale"":1.5,""mergeTinyGroups"":true,""metric"":""euclidean"",""minPts"":10,""post_alloc"":false,""radius"":0.75,""sorting"":""pca""}",1e-06,20260810,3,0.8982697156768976,0.2909136380208099,0.859209466911528,1516.9199284448619,1.0,1.0,218,0.018602269818243877
classix,rich,deployment_acceptable,classix_r0.75_m10_density,"{""group_merging"":""density"",""mergeScale"":1.5,""mergeTinyGroups"":true,""metric"":""euclidean"",""minPts"":10,""post_alloc"":false,""radius"":0.75,""sorting"":""pca""}",0.0001,20260801,3,0.8982697156768976,0.2909133414389961,0.8592094036156851,1516.9191303716539,1.0,1.0,218,0.018602269818243877
classix,rich,deployment_acceptable,classix_r0.75_m10_density,"{""group_merging"":""density"",""mergeScale"":1.5,""mergeTinyGroups"":true,""metric"":""euclidean"",""minPts"":10,""post_alloc"":false,""radius"":0.75,""sorting"":""pca""}",0.0001,20260802,3,0.8982697156768976,0.2909136226305934,0.8592092565190642,1516.9217409427515,1.0,1.0,218,0.018602269818243877
classix,rich,deployment_acceptable,classix_r0.75_m10_density,"{""group_merging"":""density"",""mergeScale"":1.5,""mergeTinyGroups"":true,""metric"":""euclidean"",""minPts"":10,""post_alloc"":false,""radius"":0.75,""sorting"":""pca""}",0.0001,20260803,3,0.8982697156768976,0.2909138043223513,0.859209876011687,1516.9234561287844,1.0,1.0,218,0.018602269818243877
classix,rich,deployment_acceptable,classix_r0.75_m10_density,"{""group_merging"":""density"",""mergeScale"":1.5,""mergeTinyGroups"":true,""metric"":""euclidean"",""minPts"":10,""post_alloc"":false,""radius"":0.75,""sorting"":""pca""}",0.0001,20260804,3,0.8982697156768976,0.2909134837334634,0.8592091067686768,1516.9195581573485,1.0,1.0,218,0.018602269818243877
classix,rich,deployment_acceptable,classix_r0.75_m10_density,"{""group_merging"":""density"",""mergeScale"":1.5,""mergeTinyGroups"":true,""metric"":""euclidean"",""minPts"":10,""post_alloc"":false,""radius"":0.75,""sorting"":""pca""}",0.0001,20260805,3,0.8982697156768976,0.2909131642132412,0.8592105796738739,1516.9164284042627,1.0,1.0,218,0.018602269818243877
classix,rich,deployment_acceptable,classix_r0.75_m10_density,"{""group_merging"":""density"",""mergeScale"":1.5,""mergeTinyGroups"":true,""metric"":""euclidean"",""minPts"":10,""post_alloc"":false,""radius"":0.75,""sorting"":""pca""}",0.0001,20260806,3,0.8982697156768976,0.29091372875898963,0.8592091840347035,1516.9203184530056,1.0,1.0,218,0.018602269818243877
classix,rich,deployment_acceptable,classix_r0.75_m10_density,"{""group_merging"":""density"",""mergeScale"":1.5,""mergeTinyGroups"":true,""metric"":""euclidean"",""minPts"":10,""post_alloc"":false,""radius"":0.75,""sorting"":""pca""}",0.0001,20260807,3,0.8982697156768976,0.2909134901950805,0.8592091097961712,1516.9200628088474,1.0,1.0,218,0.018602269818243877
classix,rich,deployment_acceptable,classix_r0.75_m10_density,"{""group_merging"":""density"",""mergeScale"":1.5,""mergeTinyGroups"":true,""metric"":""euclidean"",""minPts"":10,""post_alloc"":false,""radius"":0.75,""sorting"":""pca""}",0.0001,20260808,3,0.8982697156768976,0.2909137513765685,0.8592095687976832,1516.9194064374758,1.0,1.0,218,0.018602269818243877
classix,rich,deployment_acceptable,classix_r0.75_m10_density,"{""group_merging"":""density"",""mergeScale"":1.5,""mergeTinyGroups"":true,""metric"":""euclidean"",""minPts"":10,""post_alloc"":false,""radius"":0.75,""sorting"":""pca""}",0.0001,20260809,3,0.8982697156768976,0.2909138668593251,0.8592086029572941,1516.9219261529365,1.0,1.0,218,0.018602269818243877
classix,rich,deployment_acceptable,classix_r0.75_m10_density,"{""group_merging"":""density"",""mergeScale"":1.5,""mergeTinyGroups"":true,""metric"":""euclidean"",""minPts"":10,""post_alloc"":false,""radius"":0.75,""sorting"":""pca""}",0.0001,20260810,3,0.8982697156768976,0.29091405965446343,0.8592088293026036,1516.9224682917716,1.0,1.0,218,0.018602269818243877
classix,rich,deployment_acceptable,classix_r0.75_m10_density,"{""group_merging"":""density"",""mergeScale"":1.5,""mergeTinyGroups"":true,""metric"":""euclidean"",""minPts"":10,""post_alloc"":false,""radius"":0.75,""sorting"":""pca""}",0.001,20260801,3,0.8982697156768976,0.29090998109150684,0.8592098325719227,1516.9102035042893,1.0,1.0,218,0.018602269818243877
classix,rich,deployment_acceptable,classix_r0.75_m10_density,"{""group_merging"":""density"",""mergeScale"":1.5,""mergeTinyGroups"":true,""metric"":""euclidean"",""minPts"":10,""post_alloc"":false,""radius"":0.75,""sorting"":""pca""}",0.001,20260802,3,0.8982697156768976,0.2909127926402144,0.8592083728392432,1516.9363060630387,1.0,1.0,218,0.018602269818243877
classix,rich,deployment_acceptable,classix_r0.75_m10_density,"{""group_merging"":""density"",""mergeScale"":1.5,""mergeTinyGroups"":true,""metric"":""euclidean"",""minPts"":10,""post_alloc"":false,""radius"":0.75,""sorting"":""pca""}",0.001,20260803,3,0.8982697156768976,0.2909146113553166,0.8592145523050245,1516.9534637861923,1.0,1.0,218,0.018602269818243877
classix,rich,deployment_acceptable,classix_r0.75_m10_density,"{""group_merging"":""density"",""mergeScale"":1.5,""mergeTinyGroups"":true,""metric"":""euclidean"",""minPts"":10,""post_alloc"":false,""radius"":0.75,""sorting"":""pca""}",0.001,20260804,3,0.8982254697286013,0.2913016135392856,0.8588945091954937,1519.903384608966,0.9977134691028863,0.9977134691028863,223,0.019028927382882498
classix,rich,deployment_acceptable,classix_r0.75_m10_density,"{""group_merging"":""density"",""mergeScale"":1.5,""mergeTinyGroups"":true,""metric"":""euclidean"",""minPts"":10,""post_alloc"":false,""radius"":0.75,""sorting"":""pca""}",0.001,20260805,4,0.8954873489261803,0.23474654318386975,0.8523068196468881,1045.8733187908229,0.9858048030745835,0.9858048030745835,218,0.018602269818243877
classix,rich,deployment_acceptable,classix_r0.75_m10_density,"{""group_merging"":""density"",""mergeScale"":1.5,""mergeTinyGroups"":true,""metric"":""euclidean"",""minPts"":10,""post_alloc"":false,""radius"":0.75,""sorting"":""pca""}",0.001,20260806,3,0.8982697156768976,0.29091385247448764,0.859207643932014,1516.922085568559,1.0,1.0,218,0.018602269818243877
classix,rich,deployment_acceptable,classix_r0.75_m10_density,"{""group_merging"":""density"",""mergeScale"":1.5,""mergeTinyGroups"":true,""metric"":""euclidean"",""minPts"":10,""post_alloc"":false,""radius"":0.75,""sorting"":""pca""}",0.001,20260807,3,0.8982697156768976,0.290911467491603,0.8592068932837825,1516.9195220499312,1.0,1.0,218,0.018602269818243877
