comparison,method,parameter_key,parameter_value,k,left_representation,right_representation,n_samples,ari,nmi,vi,availability
fixed_classix_parameter,classix,candidate_id,classix_r1.05_m10_distance,,compact,rich,11719,0.0,0.0,0.013123517655142344,
fixed_classix_parameter,classix,candidate_id,classix_r1.05_m1_density,,compact,rich,11719,-0.032435174469415816,0.04104287379005597,1.0765708114701182,
fixed_classix_parameter,classix,candidate_id,classix_r1.05_m1_distance,,compact,rich,11719,0.044064680629824375,0.04477934762244343,0.032801186632137054,
fixed_classix_parameter,classix,candidate_id,classix_r1.05_m5_density,,compact,rich,11719,-0.03247444804826654,0.025957639526378477,1.0702055953396223,
fixed_classix_parameter,classix,candidate_id,classix_r1.05_m5_distance,,compact,rich,11719,0.0,0.0,0.013123517655142344,
fixed_classix_parameter,classix,candidate_id,classix_r1.10_m10_density,,compact,rich,11719,-0.040180788829156176,0.01714959937379252,1.0275199737378846,
fixed_classix_parameter,classix,candidate_id,classix_r1.10_m10_distance,,compact,rich,11719,0.0,0.0,0.014724576964624278,
fixed_classix_parameter,classix,candidate_id,classix_r1.10_m1_density,,compact,rich,11719,-0.04016277833518481,0.02697812128198736,1.037388060874089,
fixed_classix_parameter,classix,candidate_id,classix_r1.10_m1_distance,,compact,rich,11719,-0.0012063901018850708,0.00013433073963681108,0.03225156805356784,
fixed_classix_parameter,classix,candidate_id,classix_r1.10_m5_density,,compact,rich,11719,-0.040180840214060286,0.0172666881011939,1.028672423511065,
fixed_classix_parameter,classix,candidate_id,classix_r1.10_m5_distance,,compact,rich,11719,0.0,0.0,0.014724576964624278,
fixed_classix_parameter,classix,candidate_id,classix_r1.15_m10_density,,compact,rich,11719,-0.02257119651669388,0.009768252483145933,0.6715761321876793,
fixed_classix_parameter,classix,candidate_id,classix_r1.15_m10_distance,,compact,rich,11719,1.0,1.0,-0.0,
fixed_classix_parameter,classix,candidate_id,classix_r1.15_m1_density,,compact,rich,11719,-0.022538571641403646,0.02177985713121396,0.6836363465275396,
fixed_classix_parameter,classix,candidate_id,classix_r1.15_m1_distance,,compact,rich,11719,-0.0010975065730416363,0.0001130291273334478,0.023216736679711285,
fixed_classix_parameter,classix,candidate_id,classix_r1.15_m5_density,,compact,rich,11719,-0.022564228810703336,0.01025015413194427,0.6751914072045807,
fixed_classix_parameter,classix,candidate_id,classix_r1.15_m5_distance,,compact,rich,11719,1.0,1.0,-0.0,
fixed_classix_parameter,classix,candidate_id,classix_r1.20_m10_density,,compact,rich,11719,-0.023114771913044032,0.007266754369614493,0.6537479629582871,
fixed_classix_parameter,classix,candidate_id,classix_r1.20_m10_distance,,compact,rich,11719,1.0,1.0,-0.0,
fixed_classix_parameter,classix,candidate_id,classix_r1.20_m1_density,,compact,rich,11719,-0.023092453048540382,0.017702567078279843,0.6634946802663144,
fixed_classix_parameter,classix,candidate_id,classix_r1.20_m1_distance,,compact,rich,11719,-0.000731519365366586,7.458365834327122e-05,0.01758752323880655,
fixed_classix_parameter,classix,candidate_id,classix_r1.20_m5_density,,compact,rich,11719,-0.023111098114957592,0.007698065806352345,0.6558536879737752,
fixed_classix_parameter,classix,candidate_id,classix_r1.20_m5_distance,,compact,rich,11719,1.0,1.0,-0.0,
fixed_classix_parameter,classix,candidate_id,classix_r1.25_m10_density,,compact,rich,11719,-0.022728353511347152,0.009480169537111116,0.6587560701962636,
fixed_classix_parameter,classix,candidate_id,classix_r1.25_m10_distance,,compact,rich,11719,1.0,1.0,-0.0,
fixed_classix_parameter,classix,candidate_id,classix_r1.25_m1_density,,compact,rich,11719,-0.022693052532565428,0.022374960306971805,0.666837218285887,
fixed_classix_parameter,classix,candidate_id,classix_r1.25_m1_distance,,compact,rich,11719,-0.0007007553186715816,7.100141389837274e-05,0.016010242647674387,
fixed_classix_parameter,classix,candidate_id,classix_r1.25_m5_density,,compact,rich,11719,-0.022712412232868302,0.011943943107931823,0.6595484175561751,
fixed_classix_parameter,classix,candidate_id,classix_r1.25_m5_distance,,compact,rich,11719,1.0,1.0,-0.0,
fixed_classix_parameter,classix,candidate_id,classix_r1.30_m10_density,,compact,rich,11719,0.019995411862907982,0.013565301643626817,0.32659639188330203,
fixed_classix_parameter,classix,candidate_id,classix_r1.30_m10_distance,,compact,rich,11719,1.0,1.0,-0.0,
fixed_classix_parameter,classix,candidate_id,classix_r1.30_m1_density,,compact,rich,11719,0.020042906105695535,0.034180433763288255,0.33199381255836335,
fixed_classix_parameter,classix,candidate_id,classix_r1.30_m1_distance,,compact,rich,11719,0.35240055607708665,0.3305377380479936,0.009613645233216745,
fixed_classix_parameter,classix,candidate_id,classix_r1.30_m5_density,,compact,rich,11719,0.020007689630402,0.016990498542986007,0.32654756830899434,
fixed_classix_parameter,classix,candidate_id,classix_r1.30_m5_distance,,compact,rich,11719,1.0,1.0,-0.0,
fixed_classix_parameter,classix,candidate_id,classix_r1.35_m10_density,,compact,rich,11719,0.011329509041008998,0.00925890726607611,0.322748684241439,
fixed_classix_parameter,classix,candidate_id,classix_r1.35_m10_distance,,compact,rich,11719,1.0,1.0,-0.0,
fixed_classix_parameter,classix,candidate_id,classix_r1.35_m1_density,,compact,rich,11719,0.01135617495616821,0.02340015267206421,0.32801314573588936,
fixed_classix_parameter,classix,candidate_id,classix_r1.35_m1_distance,,compact,rich,11719,0.2993101711936122,0.29285070257224605,0.011462549607316831,
fixed_classix_parameter,classix,candidate_id,classix_r1.35_m5_density,,compact,rich,11719,0.011329509041008998,0.00925890726607611,0.322748684241439,
fixed_classix_parameter,classix,candidate_id,classix_r1.35_m5_distance,,compact,rich,11719,0.0,0.0,0.005031086702361568,
fixed_classix_parameter,classix,candidate_id,classix_r1.40_m10_density,,compact,rich,11719,0.01133104372519393,0.009359468611859928,0.3223991862840234,
fixed_classix_parameter,classix,candidate_id,classix_r1.40_m10_distance,,compact,rich,11719,1.0,1.0,-0.0,
fixed_classix_parameter,classix,candidate_id,classix_r1.40_m1_density,,compact,rich,11719,0.011357054171980546,0.023453796876710693,0.3272175054361246,
fixed_classix_parameter,classix,candidate_id,classix_r1.40_m1_distance,,compact,rich,11719,0.39955151712795905,0.38055475647545206,0.007726013699663272,
fixed_classix_parameter,classix,candidate_id,classix_r1.40_m5_density,,compact,rich,11719,0.01133104372519393,0.009359468611859928,0.3223991862840234,
fixed_classix_parameter,classix,candidate_id,classix_r1.40_m5_distance,,compact,rich,11719,1.0,1.0,-0.0,
fixed_classix_parameter,classix,candidate_id,classix_r1.45_m10_density,,compact,rich,11719,0.011329509041008998,0.00925890726607611,0.322748684241439,
fixed_classix_parameter,classix,candidate_id,classix_r1.45_m10_distance,,compact,rich,11719,1.0,1.0,-0.0,
fixed_classix_parameter,classix,candidate_id,classix_r1.45_m1_density,,compact,rich,11719,0.011356177988148997,0.023416647394709358,0.3277765565454942,
fixed_classix_parameter,classix,candidate_id,classix_r1.45_m1_distance,,compact,rich,11719,0.29931275148094194,0.2958244406483016,0.011299605456375249,
fixed_classix_parameter,classix,candidate_id,classix_r1.45_m5_density,,compact,rich,11719,0.011329509041008998,0.00925890726607611,0.322748684241439,
fixed_classix_parameter,classix,candidate_id,classix_r1.45_m5_distance,,compact,rich,11719,0.0,0.0,0.005031086702361568,
fixed_classix_parameter,classix,candidate_id,classix_r1.50_m10_density,,compact,rich,11719,-0.0016504917101279155,0.00022079635201948557,0.03264634023112893,
fixed_classix_parameter,classix,candidate_id,classix_r1.50_m10_distance,,compact,rich,11719,1.0,1.0,-0.0,
fixed_classix_parameter,classix,candidate_id,classix_r1.50_m1_density,,compact,rich,11719,-0.0016530823292273485,0.0001780249963565964,0.040491511583271814,
fixed_classix_parameter,classix,candidate_id,classix_r1.50_m1_distance,,compact,rich,11719,0.35240121300434224,0.35017010763680106,0.008808642630853902,
fixed_classix_parameter,classix,candidate_id,classix_r1.50_m5_density,,compact,rich,11719,-0.0016504917101279155,0.00022079635201948557,0.03264634023112893,
fixed_classix_parameter,classix,candidate_id,classix_r1.50_m5_distance,,compact,rich,11719,0.0,0.0,0.005031086702361568,
fixed_classix_parameter,classix,candidate_id,classix_r1.55_m10_density,,compact,rich,11719,-0.001226862090317163,0.0001618906387568987,0.029196906571169145,
fixed_classix_parameter,classix,candidate_id,classix_r1.55_m10_distance,,compact,rich,11719,1.0,1.0,-0.0,
fixed_classix_parameter,classix,candidate_id,classix_r1.55_m1_density,,compact,rich,11719,-0.0012282563125482525,0.00013513550838435402,0.03497846269387252,
fixed_classix_parameter,classix,candidate_id,classix_r1.55_m1_distance,,compact,rich,11719,0.545162454898493,0.5217795401241566,0.004350109055722409,
fixed_classix_parameter,classix,candidate_id,classix_r1.55_m5_density,,compact,rich,11719,-0.001226862090317163,0.0001618906387568987,0.029196906571169145,
fixed_classix_parameter,classix,candidate_id,classix_r1.55_m5_distance,,compact,rich,11719,1.0,1.0,-0.0,
fixed_classix_parameter,classix,candidate_id,classix_r1.60_m10_density,,compact,rich,11719,-0.0010973607188545685,0.00014292171509898752,0.02694344971564575,
fixed_classix_parameter,classix,candidate_id,classix_r1.60_m10_distance,,compact,rich,11719,1.0,1.0,-0.0,
fixed_classix_parameter,classix,candidate_id,classix_r1.60_m1_density,,compact,rich,11719,-0.0010983761877322422,0.00012213297906646278,0.03153025610499993,
fixed_classix_parameter,classix,candidate_id,classix_r1.60_m1_distance,,compact,rich,11719,0.545162454898493,0.5217795401241566,0.004350109055722409,
fixed_classix_parameter,classix,candidate_id,classix_r1.60_m5_density,,compact,rich,11719,-0.0010973607188545685,0.00014292171509898752,0.02694344971564575,
fixed_classix_parameter,classix,candidate_id,classix_r1.60_m5_distance,,compact,rich,11719,1.0,1.0,-0.0,
fixed_classix_parameter,classix,candidate_id,classix_r1.65_m10_density,,compact,rich,11719,-0.000845327497048157,0.00010868325222345634,0.015959932300002096,
fixed_classix_parameter,classix,candidate_id,classix_r1.65_m10_distance,,compact,rich,11719,1.0,1.0,-0.0,
fixed_classix_parameter,classix,candidate_id,classix_r1.65_m1_density,,compact,rich,11719,-0.0008463337313993103,8.690465300258986e-05,0.019959979914441452,
fixed_classix_parameter,classix,candidate_id,classix_r1.65_m1_distance,,compact,rich,11719,0.545162454898493,0.5217795401241566,0.004350109055722409,
fixed_classix_parameter,classix,candidate_id,classix_r1.65_m5_density,,compact,rich,11719,-0.000845327497048157,0.00010868325222345634,0.015959932300002096,
fixed_classix_parameter,classix,candidate_id,classix_r1.65_m5_distance,,compact,rich,11719,1.0,1.0,-0.0,
fixed_classix_parameter,classix,candidate_id,classix_r1.70_m10_density,,compact,rich,11719,-0.0008137980923336759,0.00010316404485819934,0.014834500616690649,
fixed_classix_parameter,classix,candidate_id,classix_r1.70_m10_distance,,compact,rich,11719,1.0,1.0,-0.0,
fixed_classix_parameter,classix,candidate_id,classix_r1.70_m1_density,,compact,rich,11719,-0.0008146815707794135,8.358772366655275e-05,0.018309112658871057,
