representation,split_seed,k,train_silhouette,train_dbi,train_ch,selection_scope,selected
compact,20260803,9,0.5154854896506929,0.7987413329415802,8993.967779157178,train_only_label_free,False
compact,20260803,3,0.5147742809550709,0.7333183785980607,7137.569927530007,train_only_label_free,False
compact,20260803,6,0.5028503848410887,0.8253021330832198,8615.467762052986,train_only_label_free,False
compact,20260803,5,0.47956826747854076,0.7357255192878193,8271.954891655823,train_only_label_free,False
compact,20260804,2,0.85102580101498,0.48171474952466364,5328.2009076006925,train_only_label_free,True
compact,20260804,4,0.5615532556707259,0.7723889322571437,8320.247706740374,train_only_label_free,False
compact,20260804,8,0.5424475699167749,0.8239542012961463,8532.314772227599,train_only_label_free,False
compact,20260804,5,0.5392698056590104,0.8480068045103341,8026.1683771571825,train_only_label_free,False
compact,20260804,12,0.5377814337094792,0.78617381625158,8925.622318565704,train_only_label_free,False
compact,20260804,7,0.5344390935991785,0.8141736309025421,8531.259284466047,train_only_label_free,False
compact,20260804,11,0.5275570427402849,0.7717021545233554,9004.915753421421,train_only_label_free,False
compact,20260804,10,0.5224972809888646,0.8222865189505246,8843.966934245283,train_only_label_free,False
compact,20260804,3,0.5146794958351989,0.7443667774461854,6794.32542522693,train_only_label_free,False
compact,20260804,9,0.5137340591231481,0.8175648073941931,8738.183633939334,train_only_label_free,False
compact,20260804,6,0.5057553788305487,0.8122275943208651,8432.887817698791,train_only_label_free,False
compact,20260805,2,0.8421178371246114,0.49714238864884674,5341.745381617772,train_only_label_free,True
compact,20260805,4,0.5609462660836663,0.7761908063758696,8314.145481331503,train_only_label_free,False
compact,20260805,8,0.5424776284711154,0.8354643836130211,8464.310609537077,train_only_label_free,False
compact,20260805,12,0.5411837638944302,0.7671083983290289,8902.630640800027,train_only_label_free,False
compact,20260805,7,0.5363827184781523,0.8211001303043213,8425.46067086756,train_only_label_free,False
compact,20260805,11,0.5296995176380723,0.7692456828296982,8985.4462389418,train_only_label_free,False
compact,20260805,10,0.5260356975062433,0.8283659972703502,8705.634538150272,train_only_label_free,False
compact,20260805,9,0.5140409981819765,0.8256714183275572,8642.51256806636,train_only_label_free,False
compact,20260805,3,0.5139741922118733,0.7517921625090677,6794.143349429193,train_only_label_free,False
