representation,split_seed,k,k_prime,engine,train_fidelity,test_fidelity,stability,stability_definition,k_selection_scope,k_candidate_count,selected_train_silhouette,selected_train_dbi,selected_train_ch,transformed_columns,leaves,leaf_count,effective_rules,effective_rule_count,max_depth,depth,mean_conditions_per_rule,conditions_per_rule_mean,max_conditions_per_rule,test_rows_used_for_selection,scaler_fit_rows,reference_fit_rows
compact,20260804,4,6,exkmc_0.0.3,0.9892266666666667,0.9893344709897611,1.0,fixed_seed_reproducibility,frozen_primary_k_train_fit,1,0.5615532556707259,0.7723889322571437,8320.247706740374,"[""purchase_recency_days"",""purchase_occasion_count"",""purchase_event_count""]",6,6,6,6,4,4,3.0,3.0,4,0,9375,9375
compact,20260804,4,7,exkmc_0.0.3,0.9896533333333334,0.9897610921501706,1.0,fixed_seed_reproducibility,frozen_primary_k_train_fit,1,0.5615532556707259,0.7723889322571437,8320.247706740374,"[""purchase_recency_days"",""purchase_occasion_count"",""purchase_event_count""]",7,7,7,7,4,4,3.0,3.0,4,0,9375,9375
compact,20260804,4,8,exkmc_0.0.3,0.9898666666666667,0.9918941979522184,1.0,fixed_seed_reproducibility,frozen_primary_k_train_fit,1,0.5615532556707259,0.7723889322571437,8320.247706740374,"[""purchase_recency_days"",""purchase_occasion_count"",""purchase_event_count""]",8,8,8,8,4,4,3.25,3.25,4,0,9375,9375
compact,20260804,4,9,exkmc_0.0.3,0.9906133333333333,0.992320819112628,1.0,fixed_seed_reproducibility,frozen_primary_k_train_fit,1,0.5615532556707259,0.7723889322571437,8320.247706740374,"[""purchase_recency_days"",""purchase_occasion_count"",""purchase_event_count""]",9,9,9,9,5,5,3.5555555555555554,3.5555555555555554,5,0,9375,9375
compact,20260804,4,10,exkmc_0.0.3,0.99072,0.992320819112628,1.0,fixed_seed_reproducibility,frozen_primary_k_train_fit,1,0.5615532556707259,0.7723889322571437,8320.247706740374,"[""purchase_recency_days"",""purchase_occasion_count"",""purchase_event_count""]",10,10,10,10,6,6,3.9,3.9,6,0,9375,9375
compact,20260804,4,11,exkmc_0.0.3,0.99072,0.992320819112628,1.0,fixed_seed_reproducibility,frozen_primary_k_train_fit,1,0.5615532556707259,0.7723889322571437,8320.247706740374,"[""purchase_recency_days"",""purchase_occasion_count"",""purchase_event_count""]",11,11,11,11,6,6,4.090909090909091,4.090909090909091,6,0,9375,9375
compact,20260804,4,12,exkmc_0.0.3,0.99072,0.992320819112628,1.0,fixed_seed_reproducibility,frozen_primary_k_train_fit,1,0.5615532556707259,0.7723889322571437,8320.247706740374,"[""purchase_recency_days"",""purchase_occasion_count"",""purchase_event_count""]",12,12,12,12,6,6,4.083333333333333,4.083333333333333,6,0,9375,9375
compact,20260804,4,13,exkmc_0.0.3,0.99072,0.992320819112628,1.0,fixed_seed_reproducibility,frozen_primary_k_train_fit,1,0.5615532556707259,0.7723889322571437,8320.247706740374,"[""purchase_recency_days"",""purchase_occasion_count"",""purchase_event_count""]",13,13,13,13,6,6,4.153846153846154,4.153846153846154,6,0,9375,9375
compact,20260804,4,14,exkmc_0.0.3,0.99072,0.992320819112628,1.0,fixed_seed_reproducibility,frozen_primary_k_train_fit,1,0.5615532556707259,0.7723889322571437,8320.247706740374,"[""purchase_recency_days"",""purchase_occasion_count"",""purchase_event_count""]",14,14,14,14,6,6,4.285714285714286,4.285714285714286,6,0,9375,9375
compact,20260804,4,15,exkmc_0.0.3,0.99072,0.992320819112628,1.0,fixed_seed_reproducibility,frozen_primary_k_train_fit,1,0.5615532556707259,0.7723889322571437,8320.247706740374,"[""purchase_recency_days"",""purchase_occasion_count"",""purchase_event_count""]",15,15,15,15,6,6,4.466666666666667,4.466666666666667,6,0,9375,9375
compact,20260804,4,16,exkmc_0.0.3,0.99072,0.992320819112628,1.0,fixed_seed_reproducibility,frozen_primary_k_train_fit,1,0.5615532556707259,0.7723889322571437,8320.247706740374,"[""purchase_recency_days"",""purchase_occasion_count"",""purchase_event_count""]",16,16,16,16,6,6,4.5625,4.5625,6,0,9375,9375
compact,20260805,4,4,exkmc_0.0.3,0.9467733333333334,0.9445392491467577,1.0,fixed_seed_reproducibility,frozen_primary_k_train_fit,1,0.5609462660836663,0.7761908063758696,8314.145481331503,"[""purchase_recency_days"",""purchase_occasion_count"",""purchase_event_count""]",4,4,4,4,3,3,2.25,2.25,3,0,9375,9375
compact,20260805,4,5,exkmc_0.0.3,0.98112,0.9790955631399317,1.0,fixed_seed_reproducibility,frozen_primary_k_train_fit,1,0.5609462660836663,0.7761908063758696,8314.145481331503,"[""purchase_recency_days"",""purchase_occasion_count"",""purchase_event_count""]",5,5,5,5,4,4,2.8,2.8,4,0,9375,9375
compact,20260805,4,6,exkmc_0.0.3,0.9895466666666667,0.9876279863481229,1.0,fixed_seed_reproducibility,frozen_primary_k_train_fit,1,0.5609462660836663,0.7761908063758696,8314.145481331503,"[""purchase_recency_days"",""purchase_occasion_count"",""purchase_event_count""]",6,6,6,6,4,4,3.0,3.0,4,0,9375,9375
compact,20260805,4,7,exkmc_0.0.3,0.9904,0.9867747440273038,1.0,fixed_seed_reproducibility,frozen_primary_k_train_fit,1,0.5609462660836663,0.7761908063758696,8314.145481331503,"[""purchase_recency_days"",""purchase_occasion_count"",""purchase_event_count""]",7,7,7,7,4,4,3.2857142857142856,3.2857142857142856,4,0,9375,9375
